Word 1	Word 2	Word 3	Word 4	Count	perMillion
of	the	Kingdom	of 	3938	18.286640677936
considered	one	of	the 	3909	18.151975218398
was	added	to	the 	3895	18.086964306897
has	a	population	of 	3893	18.077677033825
during	the	Second	World 	3882	18.026597031932
be	found	in	the 	3871	17.975517030038
the	success	of	the 	3864	17.943011574287
to	the	fact	that 	3860	17.924437028144
of	the	state	of 	3857	17.910506118537
to	the	south	of 	3842	17.840851570500
became	a	member	of 	3837	17.817633387821
in	the	province	of 	3822	17.747978839784
the	north	of	the 	3818	17.729404293641
similar	to	that	of 	3811	17.696898837891
after	the	end	of 	3803	17.659749745604
the	vast	majority	of 	3779	17.548302468745
he	was	elected	to 	3766	17.487935193780
the	release	of	the 	3766	17.487935193780
under	the	leadership	of 	3763	17.474004284173
in	the	County	of 	3748	17.404349736136
the	back	of	the 	3745	17.390418826528
listed	on	the	National 	3737	17.353269734242
one	of	the	earliest 	3726	17.302189732349
the	construction	of	a 	3706	17.209317001633
the	base	of	the 	3702	17.190742455490
the	creation	of	a 	3688	17.125731543989
He	went	on	to 	3686	17.116444270917
with	the	rest	of 	3678	17.079295178631
from	the	United	States 	3673	17.056076995952
on	the	site	of 	3673	17.056076995952
the	population	of	the 	3673	17.056076995952
are	a	number	of 	3668	17.032858813273
to	the	development	of 	3666	17.023571540201
as	well	as	other 	3657	16.981778811379
a	small	number	of 	3656	16.977135174843
In	an	interview	with 	3653	16.963204265236
considered	to	be	the 	3649	16.944629719093
of	the	New	York 	3644	16.921411536414
one	of	the	two 	3637	16.888906080663
the	arrival	of	the 	3602	16.726378801911
an	important	role	in 	3591	16.675298800017
in	the	presence	of 	3577	16.610287888516
in	the	center	of 	3576	16.605644251980
as	president	of	the 	3566	16.559207886622
President	of	the	United 	3563	16.545276977015
he	was	able	to 	3554	16.503484248193
is	located	at	the 	3517	16.331669696369
and	the	University	of 	3509	16.294520604082
for	most	of	the 	3509	16.294520604082
and	the	rest	of 	3506	16.280589694475
was	based	on	the 	3501	16.257371511796
to	that	of	the 	3496	16.234153329117
the	use	of	a 	3474	16.131993325330
to	be	known	as 	3458	16.057695140757
the	role	of	the 	3455	16.043764231150
It	was	one	of 	3454	16.039120594614
There	are	a	number 	3452	16.029833321542
at	a	time	when 	3449	16.015902411935
the	fall	of	the 	3442	15.983396956185
of	the	Board	of 	3441	15.978753319649
the	south	of	the 	3440	15.974109683113
He	was	also	a 	3432	15.936960590827
in	the	event	of 	3430	15.927673317755
has	been	described	as 	3415	15.858018769718
in	contrast	to	the 	3409	15.830156950504
in	the	area	of 	3409	15.830156950504
was	used	as	a 	3407	15.820869677432
the	northern	part	of 	3402	15.797651494753
other	parts	of	the 	3401	15.793007858217
on	the	island	of 	3388	15.732640583252
of	the	most	popular 	3371	15.653698762144
for	the	remainder	of 	3367	15.635124216000
for	the	United	States 	3366	15.630480579465
in	what	is	now 	3366	15.630480579465
under	the	direction	of 	3366	15.630480579465
be	used	as	a 	3361	15.607262396786
is	a	type	of 	3345	15.532964212213
the	turn	of	the 	3343	15.523676939141
it	was	reported	that 	3334	15.481884210319
in	the	aftermath	of 	3332	15.472596937248
in	terms	of	the 	3324	15.435447844961
other	members	of	the 	3324	15.435447844961
the	name	of	a 	3324	15.435447844961
in	the	second	half 	3322	15.426160571890
is	made	up	of 	3320	15.416873298818
the	nature	of	the 	3313	15.384367843068
used	to	refer	to 	3312	15.379724206532
said	to	have	been 	3298	15.314713295031
in	the	process	of 	3290	15.277564202745
the	New	York	City 	3290	15.277564202745
the	edge	of	the 	3287	15.263633293137
the	surface	of	the 	3283	15.245058746994
with	a	number	of 	3273	15.198622381636
the	banks	of	the 	3262	15.147542379743
By	the	time	of 	3258	15.128967833599
was	known	as	the 	3252	15.101106014385
can	also	be	used 	3244	15.063956922098
on	the	night	of 	3241	15.050026012491
of	the	town	of 	3239	15.040738739419
commonly	referred	to	as 	3235	15.022164193276
one	of	the	greatest 	3233	15.012876920205
in	support	of	the 	3231	15.003589647133
the	first	time	since 	3231	15.003589647133
to	a	number	of 	3224	14.971084191383
he	was	promoted	to 	3222	14.961796918311
and	went	on	to 	3211	14.910716916417
to	the	end	of 	3207	14.892142370274
to	New	York	City 	3205	14.882855097203
under	the	control	of 	3198	14.850349641452
It	is	believed	that 	3196	14.841062368381
It	is	located	in 	3181	14.771407820344
and	was	replaced	by 	3178	14.757476910736
the	outbreak	of	the 	3178	14.757476910736
turned	out	to	be 	3175	14.743546001129
if	and	only	if 	3173	14.734258728057
all	over	the	world 	3164	14.692465999235
to	be	confused	with 	3164	14.692465999235
in	the	absence	of 	3162	14.683178726164
the	United	States	of 	3159	14.669247816556
is	believed	to	have 	3158	14.664604180021
on	the	morning	of 	3153	14.641385997342
It	is	also	the 	3147	14.613524178127
is	named	after	the 	3141	14.585662358912
the	Supreme	Court	of 	3128	14.525295083947
by	a	number	of 	3125	14.511364174340
both	sides	of	the 	3123	14.502076901268
for	the	most	part 	3120	14.488145991661
the	power	of	the 	3120	14.488145991661
not	to	be	confused 	3116	14.469571445517
in	the	hands	of 	3099	14.390629624409
the	southern	part	of 	3098	14.385985987873
the	basis	of	the 	3091	14.353480532123
was	succeeded	by	his 	3090	14.348836895587
the	part	of	the 	3087	14.334905985980
He	was	educated	at 	3085	14.325618712908
at	a	cost	of 	3081	14.307044166765
on	top	of	the 	3081	14.307044166765
on	the	side	of 	3079	14.297756893693
in	the	name	of 	3073	14.269895074479
in	accordance	with	the 	3071	14.260607801407
and	as	a	result 	3063	14.223458709121
was	the	site	of 	3060	14.209527799513
the	founder	of	the 	3057	14.195596889906
despite	the	fact	that 	3050	14.163091434155
as	opposed	to	the 	3048	14.153804161084
the	total	number	of 	3045	14.139873251476
end	of	the	season 	3042	14.125942341869
on	the	same	day 	3037	14.102724159190
in	charge	of	the 	3036	14.098080522654
open	to	the	public 	3035	14.093436886119
an	example	of	a 	3034	14.088793249583
to	the	north	and 	3033	14.084149613047
end	of	World	War 	3031	14.074862339975
the	chairman	of	the 	3028	14.060931430368
to	return	to	the 	3026	14.051644157296
the	United	States	and 	3019	14.019138701546
a	portion	of	the 	3015	14.000564155403
is	an	example	of 	3014	13.995920518867
the	end	of	World 	3013	13.991276882331
are	part	of	the 	3007	13.963415063116
now	known	as	the 	3003	13.944840516973
changed	its	name	to 	2999	13.926265970830
the	board	of	directors 	2988	13.875185968936
is	known	for	its 	2981	13.842680513186
the	hands	of	the 	2980	13.838036876650
the	heart	of	the 	2973	13.805531420900
to	one	of	the 	2969	13.786956874757
be	seen	in	the 	2963	13.759095055542
also	one	of	the 	2959	13.740520509399
as	well	as	to 	2959	13.740520509399
to	refer	to	the 	2947	13.684796870969
the	case	of	the 	2946	13.680153234433
would	go	on	to 	2938	13.643004142147
the	front	of	the 	2934	13.624429596004
in	the	same	way 	2929	13.601211413325
is	believed	to	be 	2911	13.517625955681
went	on	to	win 	2911	13.517625955681
also	referred	to	as 	2910	13.512982319145
the	west	of	the 	2909	13.508338682609
in	the	vicinity	of 	2907	13.499051409538
is	used	as	a 	2901	13.471189590323
and	is	one	of 	2900	13.466545953787
as	a	means	of 	2893	13.434040498037
with	a	population	of 	2890	13.420109588429
the	terms	of	the 	2883	13.387604132679
was	the	first	time 	2879	13.369029586536
the	son	of	a 	2873	13.341167767321
of	the	United	Nations 	2859	13.276156855820
on	the	other	side 	2855	13.257582309677
and	a	member	of 	2851	13.239007763533
It	has	also	been 	2847	13.220433217390
after	the	fall	of 	2838	13.178640488568
the	same	as	the 	2835	13.164709578961
the	design	of	the 	2834	13.160065942425
the	Church	of	England 	2825	13.118273213603
at	the	expense	of 	2824	13.113629577067
the	collapse	of	the 	2819	13.090411394388
with	the	addition	of 	2819	13.090411394388
for	a	long	time 	2817	13.081124121317
also	a	member	of 	2809	13.043975029030
the	east	of	the 	2803	13.016113209816
at	the	hands	of 	2798	12.992895027137
in	the	UK	and 	2798	12.992895027137
He	is	best	known 	2795	12.978964117529
off	the	coast	of 	2791	12.960389571386
the	area	of	the 	2788	12.946458661779
the	first	of	the 	2782	12.918596842564
to	participate	in	the 	2780	12.909309569492
the	face	of	the 	2776	12.890735023349
in	the	Middle	East 	2771	12.867516840670
near	the	end	of 	2771	12.867516840670
a	reference	to	the 	2768	12.853585931063
the	seat	of	the 	2768	12.853585931063
the	same	time	as 	2767	12.848942294527
was	born	in	the 	2763	12.830367748384
by	the	fact	that 	2758	12.807149565705
the	aftermath	of	the 	2754	12.788575019562
in	the	midst	of 	2744	12.742138654204
the	site	of	a 	2743	12.737495017668
to	be	the	first 	2738	12.714276834989
the	value	of	the 	2734	12.695702288846
believed	to	have	been 	2732	12.686415015775
was	appointed	to	the 	2728	12.667840469631
was	replaced	by	the 	2725	12.653909560024
on	the	part	of 	2723	12.644622286953
on	the	grounds	that 	2721	12.635335013881
the	death	of	the 	2709	12.579611375451
and	most	of	the 	2708	12.574967738916
In	addition	to	his 	2708	12.574967738916
the	direction	of	the 	2702	12.547105919701
of	the	Year	award 	2697	12.523887737022
by	a	group	of 	2694	12.509956827415
is	a	part	of 	2691	12.496025917807
be	confused	with	the 	2688	12.482095008200
It	is	the	only 	2683	12.458876825521
It	has	been	suggested 	2681	12.449589552449
is	a	form	of 	2679	12.440302279378
in	the	first	half 	2672	12.407796823627
in	conjunction	with	the 	2669	12.393865914020
the	early	years	of 	2667	12.384578640948
of	a	series	of 	2666	12.379935004413
as	well	as	an 	2665	12.375291367877
the	completion	of	the 	2664	12.370647731341
in	favor	of	the 	2657	12.338142275590
It	is	possible	that 	2656	12.333498639055
the	north	side	of 	2654	12.324211365983
in	the	village	of 	2649	12.300993183304
It	is	said	that 	2646	12.287062273697
for	a	total	of 	2643	12.273131364089
considered	to	be	a 	2639	12.254556817946
to	the	rank	of 	2632	12.222051362196
the	story	of	the 	2628	12.203476816053
the	last	of	the 	2625	12.189545906445
end	of	the	year 	2622	12.175614996838
he	returned	to	the 	2607	12.105960448801
He	was	succeeded	by 	2601	12.078098629586
United	States	and	Canada 	2599	12.068811356515
This	was	followed	by 	2598	12.064167719979
the	other	side	of 	2593	12.040949537300
to	the	House	of 	2588	12.017731354621
rest	of	his	life 	2586	12.008444081549
under	the	influence	of 	2581	11.985225898871
was	built	in	the 	2573	11.948076806584
become	one	of	the 	2571	11.938789533513
through	the	use	of 	2571	11.938789533513
is	a	village	in 	2570	11.934145896977
at	the	request	of 	2567	11.920214987369
the	exception	of	the 	2564	11.906284077762
the	height	of	the 	2563	11.901640441226
also	home	to	the 	2561	11.892353168155
is	the	name	of 	2554	11.859847712404
of	some	of	the 	2553	11.855204075868
with	respect	to	the 	2547	11.827342256654
as	early	as	the 	2544	11.813411347046
the	wake	of	the 	2542	11.804124073975
the	coat	of	arms 	2540	11.794836800903
is	similar	to	the 	2527	11.734469525938
the	establishment	of	a 	2516	11.683389524044
was	also	the	first 	2513	11.669458614437
the	west	side	of 	2509	11.650884068294
at	the	bottom	of 	2508	11.646240431758
is	now	known	as 	2506	11.636953158686
on	the	banks	of 	2506	11.636953158686
to	the	city	of 	2499	11.604447702936
is	the	home	of 	2496	11.590516793328
parts	of	the	world 	2491	11.567298610650
what	is	now	the 	2486	11.544080427971
as	well	as	his 	2479	11.511574972220
which	led	to	the 	2479	11.511574972220
in	World	War	I 	2476	11.497644062613
the	source	of	the 	2476	11.497644062613
of	the	same	year 	2475	11.493000426077
that	he	had	been 	2475	11.493000426077
was	used	in	the 	2473	11.483713153005
in	the	Peerage	of 	2467	11.455851333791
the	support	of	the 	2467	11.455851333791
on	a	number	of 	2463	11.437276787647
was	the	subject	of 	2461	11.427989514576
part	of	the	city 	2457	11.409414968433
name	was	changed	to 	2456	11.404771331897
under	the	name	of 	2455	11.400127695361
a	Fellow	of	the 	2452	11.386196785754
the	control	of	the 	2446	11.358334966539
as	chairman	of	the 	2441	11.335116783860
the	east	side	of 	2438	11.321185874253
of	the	Department	of 	2436	11.311898601181
he	worked	as	a 	2432	11.293324055038
the	first	round	of 	2432	11.293324055038
the	south	side	of 	2429	11.279393145431
on	the	north	side 	2419	11.232956780073
by	members	of	the 	2415	11.214382233930
in	an	episode	of 	2408	11.181876778179
This	is	a	list 	2405	11.167945868572
in	the	north	of 	2404	11.163302232036
the	result	of	a 	2400	11.144727685893
in	the	second	round 	2399	11.140084049357
the	influence	of	the 	2398	11.135440412821
and	was	the	first 	2397	11.130796776285
has	a	number	of 	2396	11.126153139750
the	position	of	the 	2394	11.116865866678
with	the	introduction	of 	2391	11.102934957071
that	it	would	be 	2389	11.093647683999
during	the	course	of 	2388	11.089004047463
the	government	of	the 	2388	11.089004047463
to	the	rest	of 	2388	11.089004047463
of	the	Battle	of 	2383	11.065785864784
the	headquarters	of	the 	2383	11.065785864784
the	Office	of	the 	2383	11.065785864784
he	served	as	a 	2380	11.051854955177
at	the	head	of 	2379	11.047211318641
in	the	Middle	Ages 	2379	11.047211318641
of	the	Council	of 	2374	11.023993135962
of	the	British	Empire 	2372	11.014705862891
is	thought	to	be 	2371	11.010062226355
went	on	to	become 	2368	10.996131316748
was	responsible	for	the 	2361	10.963625860997
the	form	of	the 	2360	10.958982224461
of	the	most	famous 	2359	10.954338587925
the	UK	Singles	Chart 	2359	10.954338587925
and	was	one	of 	2354	10.931120405246
the	presence	of	the 	2351	10.917189495639
the	end	of	a 	2350	10.912545859103
the	Holy	Roman	Empire 	2347	10.898614949496
following	the	death	of 	2344	10.884684039889
the	title	of	the 	2342	10.875396766817
the	result	of	the 	2338	10.856822220674
an	integral	part	of 	2336	10.847534947602
with	the	release	of 	2336	10.847534947602
has	been	suggested	that 	2332	10.828960401459
He	was	the	son 	2330	10.819673128388
the	founding	of	the 	2329	10.815029491852
on	both	sides	of 	2326	10.801098582244
the	destruction	of	the 	2319	10.768593126494
at	the	intersection	of 	2316	10.754662216887
of	the	rest	of 	2316	10.754662216887
as	well	as	being 	2314	10.745374943815
the	work	of	the 	2314	10.745374943815
the	War	of	the 	2310	10.726800397672
are	located	in	the 	2304	10.698938578457
coat	of	arms	of 	2300	10.680364032314
the	western	part	of 	2300	10.680364032314
in	front	of	a 	2294	10.652502213099
the	conclusion	of	the 	2294	10.652502213099
It	is	important	to 	2289	10.629284030420
a	large	part	of 	2287	10.619996757349
in	the	south	of 	2286	10.615353120813
of	the	twentieth	century 	2284	10.606065847741
seems	to	have	been 	2284	10.606065847741
was	nominated	for	the 	2283	10.601422211206
in	the	Soviet	Union 	2282	10.596778574670
the	idea	of	a 	2282	10.596778574670
the	eastern	part	of 	2280	10.587491301598
to	take	advantage	of 	2279	10.582847665062
of	the	Year	in 	2275	10.564273118919
the	bulk	of	the 	2275	10.564273118919
an	important	part	of 	2273	10.554985845848
to	take	part	in 	2272	10.550342209312
By	the	time	the 	2266	10.522480390097
as	well	as	for 	2263	10.508549480490
the	subject	of	a 	2263	10.508549480490
its	name	from	the 	2261	10.499262207418
not	be	confused	with 	2260	10.494618570882
of	New	South	Wales 	2259	10.489974934347
may	or	may	not 	2258	10.485331297811
on	the	south	side 	2258	10.485331297811
are	referred	to	as 	2254	10.466756751668
was	named	after	the 	2250	10.448182205524
around	the	same	time 	2248	10.438894932453
there	has	been	a 	2248	10.438894932453
at	the	foot	of 	2247	10.434251295917
northern	part	of	the 	2243	10.415676749774
on	the	grounds	of 	2241	10.406389476702
to	have	been	the 	2240	10.401745840167
came	to	be	known 	2239	10.397102203631
for	the	construction	of 	2239	10.397102203631
is	also	known	for 	2237	10.387814930559
as	a	form	of 	2235	10.378527657488
that	there	is	no 	2234	10.373884020952
on	the	west	side 	2229	10.350665838273
the	basis	for	the 	2229	10.350665838273
regarded	as	one	of 	2227	10.341378565201
at	the	time	the 	2226	10.336734928666
of	the	province	of 	2224	10.327447655594
before	the	end	of 	2221	10.313516745987
from	the	rest	of 	2220	10.308873109451
for	much	of	the 	2216	10.290298563308
the	county	seat	of 	2216	10.290298563308
a	large	amount	of 	2213	10.276367653700
the	presence	of	a 	2212	10.271724017165
the	day	of	the 	2209	10.257793107557
to	be	used	in 	2208	10.253149471021
for	a	short	time 	2203	10.229931288342
to	the	creation	of 	2203	10.229931288342
to	the	south	and 	2199	10.211356742199
a	few	years	later 	2196	10.197425832592
being	one	of	the 	2195	10.192782196056
at	the	height	of 	2194	10.188138559520
as	part	of	their 	2193	10.183494922985
in	the	number	of 	2192	10.178851286449
the	rear	of	the 	2192	10.178851286449
the	dissolution	of	the 	2185	10.146345830698
the	building	of	the 	2182	10.132414921091
the	director	of	the 	2181	10.127771284555
did	not	want	to 	2177	10.109196738412
of	the	Second	World 	2176	10.104553101876
a	result	of	this 	2175	10.099909465340
appears	to	have	been 	2173	10.090622192269
in	relation	to	the 	2173	10.090622192269
The	following	is	a 	2171	10.081334919197
a	founding	member	of 	2163	10.044185826911
for	which	he	was 	2160	10.030254917304
and	the	use	of 	2157	10.016324007696
at	the	base	of 	2156	10.011680371160
is	considered	one	of 	2155	10.007036734625
proved	to	be	a 	2153	9.997749461553
was	admitted	to	the 	2152	9.993105825017
at	the	mouth	of 	2151	9.988462188481
on	the	east	side 	2151	9.988462188481
He	served	in	the 	2149	9.979174915410
should	not	be	confused 	2148	9.974531278874
was	the	first	of 	2146	9.965244005802
time	of	his	death 	2143	9.951313096195
with	the	support	of 	2142	9.946669459659
is	thought	to	have 	2135	9.914164003909
It	is	estimated	that 	2135	9.914164003909
came	to	an	end 	2134	9.909520367373
the	development	of	a 	2134	9.909520367373
was	assigned	to	the 	2134	9.909520367373
is	home	to	a 	2131	9.895589457766
as	a	way	to 	2130	9.890945821230
after	the	release	of 	2129	9.886302184694
can	be	seen	as 	2129	9.886302184694
on	the	board	of 	2126	9.872371275087
the	life	of	the 	2124	9.863084002015
the	United	States	House 	2124	9.863084002015
two	or	more	races 	2124	9.863084002015
at	the	time	was 	2122	9.853796728943
the	next	few	years 	2120	9.844509455872
of	the	Royal	Society 	2111	9.802716727050
took	place	in	the 	2110	9.798073090514
a	major	role	in 	2108	9.788785817442
on	the	west	coast 	2108	9.788785817442
in	a	letter	to 	2106	9.779498544371
is	often	referred	to 	2106	9.779498544371
to	be	part	of 	2103	9.765567634764
in	the	early	years 	2102	9.760923998228
and	some	of	the 	2098	9.742349452085
from	all	over	the 	2097	9.737705815549
tells	the	story	of 	2097	9.737705815549
and	is	part	of 	2093	9.719131269406
during	the	American	Civil 	2090	9.705200359798
for	the	use	of 	2089	9.700556723262
named	in	honor	of 	2085	9.681982177119
was	part	of	a 	2085	9.681982177119
believed	to	be	the 	2078	9.649476721369
the	events	of	the 	2077	9.644833084833
There	was	also	a 	2077	9.644833084833
with	the	intention	of 	2076	9.640189448297
in	such	a	way 	2073	9.626258538690
the	rise	of	the 	2069	9.607683992547
that	he	did	not 	2066	9.593753082939
on	the	day	of 	2063	9.579822173332
is	known	as	a 	2062	9.575178536796
that	there	is	a 	2062	9.575178536796
in	the	beginning	of 	2059	9.561247627189
to	have	been	a 	2059	9.561247627189
on	to	win	the 	2058	9.556603990653
all	the	way	to 	2056	9.547316717581
can	be	used	as 	2055	9.542673081046
that	he	would	be 	2054	9.538029444510
the	first	and	second 	2052	9.528742171438
over	a	period	of 	2051	9.524098534902
announced	that	he	would 	2048	9.510167625295
the	shape	of	the 	2048	9.510167625295
the	early	part	of 	2047	9.505523988759
Australia	and	New	Zealand 	2044	9.491593079152
was	taken	over	by 	2043	9.486949442616
was	involved	in	the 	2042	9.482305806080
to	deal	with	the 	2039	9.468374896473
also	be	used	to 	2037	9.459087623401
was	released	as	a 	2037	9.459087623401
It	was	founded	in 	2035	9.449800350330
is	the	same	as 	2034	9.445156713794
is	the	site	of 	2034	9.445156713794
the	winner	of	the 	2034	9.445156713794
thought	to	have	been 	2034	9.445156713794
is	also	used	in 	2033	9.440513077258
the	American	Revolutionary	War 	2033	9.440513077258
the	structure	of	the 	2031	9.431225804187
He	was	also	the 	2030	9.426582167651
southern	part	of	the 	2027	9.412651258044
the	first	part	of 	2027	9.412651258044
to	the	use	of 	2027	9.412651258044
