Word 1	Word 2	Word 3	Count	perMillion
to	have	a 	12992	60.330125872966
known	for	his 	12988	60.311551326823
appeared	in	the 	12942	60.097944046177
home	to	the 	12863	59.731096759849
in	recent	years 	12856	59.698591304099
had	to	be 	12854	59.689304031027
part	in	the 	12807	59.471053113845
the	first	of 	12802	59.447834931166
the	Department	of 	12791	59.396754929272
is	said	to 	12734	59.132067646733
where	he	was 	12723	59.080987644839
who	had	been 	12693	58.941678548765
New	York	Times 	12648	58.732714904655
the	most	common 	12615	58.579474898974
it	can	be 	12509	58.087249426180
the	government	of 	12479	57.947940330106
to	create	a 	12470	57.906147601284
the	Kingdom	of 	12439	57.762194868675
the	first	to 	12437	57.752907595603
involved	in	the 	12380	57.488220313063
the	concept	of 	12375	57.465002130384
There	is	also 	12374	57.460358493849
the	introduction	of 	12353	57.362842126597
large	number	of 	12327	57.242107576667
the	title	of 	12295	57.093511207521
used	by	the 	12228	56.782387559623
the	establishment	of 	12214	56.717376648122
place	in	the 	12203	56.666296646229
which	had	been 	12154	56.438758455975
The	album	was 	12127	56.313380269509
the	ability	to 	12121	56.285518450294
that	he	would 	12056	55.983682075468
away	from	the 	12047	55.941889346646
has	been	a 	12037	55.895452981288
was	in	the 	11984	55.649340244891
construction	of	the 	11980	55.630765698748
is	the	most 	11959	55.533249331496
was	to	be 	11956	55.519318421889
responsible	for	the 	11954	55.510031148817
related	to	the 	11952	55.500743875746
he	returned	to 	11948	55.482169329603
served	as	the 	11946	55.472882056531
director	of	the 	11935	55.421802054637
an	example	of 	11912	55.314998414314
said	to	have 	11905	55.282492958564
that	can	be 	11895	55.236056593206
the	work	of 	11877	55.152471135562
the	amount	of 	11872	55.129252952883
and	the	first 	11840	54.980656583737
he	was	appointed 	11807	54.827416578056
and	that	the 	11789	54.743831120412
due	to	a 	11783	54.715969301198
for	many	years 	11774	54.674176572375
during	this	period 	11728	54.460569291729
would	have	been 	11727	54.455925655193
is	used	to 	11715	54.400202016764
majority	of	the 	11670	54.191238372653
and	the	other 	11667	54.177307463046
During	this	time 	11665	54.168020189974
of	World	War 	11663	54.158732916903
which	is	the 	11642	54.061216549651
There	are	two 	11628	53.996205638150
west	of	the 	11628	53.996205638150
was	awarded	the 	11606	53.894045634363
of	New	York 	11601	53.870827451684
the	result	of 	11599	53.861540178612
due	to	its 	11581	53.777954720968
the	subject	of 	11581	53.777954720968
was	also	the 	11579	53.768667447897
Second	World	War 	11568	53.717587446003
best	known	for 	11562	53.689725626788
added	to	the 	11561	53.685081990252
close	to	the 	11552	53.643289261430
the	formation	of 	11550	53.634001988359
It	was	also 	11534	53.559703803786
site	of	the 	11481	53.313591067389
the	basis	of 	11419	53.025685602170
as	the	first 	11413	52.997823782956
to	be	used 	11408	52.974605600277
After	the	war 	11376	52.826009231132
to	use	the 	11368	52.788860138845
was	published	in 	11364	52.770285592702
a	set	of 	11310	52.519529219770
east	of	the 	11310	52.519529219770
at	this	time 	11305	52.496311037091
was	the	only 	11237	52.180543752657
on	the	island 	11190	51.962292835475
the	right	to 	11170	51.869420104759
which	is	a 	11155	51.799765556722
each	of	the 	11147	51.762616464436
a	period	of 	11138	51.720823735614
included	in	the 	11136	51.711536462542
to	return	to 	11131	51.688318279863
By	the	time 	11130	51.683674643328
the	Second	World 	11118	51.627951004898
The	city	is 	11070	51.405056451180
to	win	the 	11070	51.405056451180
a	list	of 	11006	51.107863712890
a	form	of 	10988	51.024278255246
section	of	the 	10943	50.815314611135
he	was	elected 	10934	50.773521882313
over	the	years 	10920	50.708510970812
front	of	the 	10916	50.689936424669
of	his	life 	10904	50.634212786239
as	opposed	to 	10895	50.592420057417
what	is	now 	10889	50.564558238202
the	story	of 	10880	50.522765509380
and	the	United 	10866	50.457754597879
was	forced	to 	10865	50.453110961344
the	Board	of 	10854	50.402030959450
refers	to	the 	10824	50.262721863376
He	served	as 	10819	50.239503680697
be	found	in 	10816	50.225572771090
the	size	of 	10812	50.206998224947
the	United	Nations 	10795	50.128056403838
House	of	Representatives 	10793	50.118769130767
derived	from	the 	10782	50.067689128873
was	an	American 	10755	49.942310942407
the	President	of 	10752	49.928380032799
to	make	the 	10744	49.891230940513
start	of	the 	10740	49.872656394370
and	is	the 	10699	49.682267296403
on	the	same 	10693	49.654405477188
in	Los	Angeles 	10685	49.617256384902
a	lot	of 	10675	49.570820019544
it	was	announced 	10643	49.422223650398
as	in	the 	10617	49.301489100468
elected	to	the 	10609	49.264340008182
moved	to	the 	10608	49.259696371646
an	area	of 	10604	49.241121825503
and	as	a 	10599	49.217903642824
to	become	a 	10574	49.101812729429
known	as	a 	10573	49.097169092893
the	process	of 	10551	48.995009089106
there	was	no 	10543	48.957859996820
in	favor	of 	10501	48.762827262316
is	not	a 	10483	48.679241804672
became	known	as 	10474	48.637449075850
of	a	new 	10466	48.600299983564
the	town	was 	10440	48.479565433633
to	that	of 	10412	48.349543610631
Award	for	Best 	10407	48.326325427952
he	had	been 	10381	48.205590878022
is	the	largest 	10355	48.084856328091
named	after	the 	10355	48.084856328091
and	he	was 	10354	48.080212691556
is	served	by 	10352	48.070925418484
center	of	the 	10320	47.922329049339
said	to	be 	10287	47.769089043658
the	lack	of 	10274	47.708721768692
the	same	name 	10270	47.690147222549
such	as	a 	10261	47.648354493727
for	the	next 	10229	47.499758124582
House	of	Commons 	10212	47.420816303474
the	most	popular 	10185	47.295438117007
more	than	a 	10181	47.276863570864
is	located	on 	10172	47.235070842042
the	existence	of 	10165	47.202565386292
and	one	of 	10123	47.007532651788
to	make	a 	10106	46.928590830680
under	the	name 	10102	46.910016284537
the	population	of 	10090	46.854292646107
the	home	of 	10082	46.817143553821
as	a	member 	10080	46.807856280749
until	his	death 	10074	46.779994461535
as	early	as 	10054	46.687121730819
during	the	first 	10024	46.547812634745
and	was	the 	10022	46.538525361674
he	became	a 	9991	46.394572629064
the	Treaty	of 	9975	46.320274444492
a	large	number 	9970	46.297056261813
was	known	as 	9949	46.199539894561
the	province	of 	9925	46.088092617702
He	is	a 	9842	45.702670785232
based	on	a 	9830	45.646947146802
led	to	a 	9824	45.619085327588
is	named	after 	9811	45.558718052622
to	join	the 	9793	45.475132594978
it	would	be 	9765	45.345110771976
and	on	the 	9758	45.312605316226
but	it	was 	9749	45.270812587403
made	up	of 	9745	45.252238041260
at	least	one 	9735	45.205801675902
the	Supreme	Court 	9732	45.191870766295
of	all	time 	9724	45.154721674009
is	the	first 	9718	45.126859854794
It	is	located 	9715	45.112928945187
the	success	of 	9691	45.001481668328
It	has	a 	9686	44.978263485649
and	has	been 	9685	44.973619849113
There	are	many 	9685	44.973619849113
a	collection	of 	9661	44.862172572254
to	do	so 	9631	44.722863476180
the	study	of 	9625	44.695001656966
the	remainder	of 	9557	44.379234372532
which	can	be 	9535	44.277074368745
As	of	the 	9517	44.193488911100
middle	of	the 	9507	44.147052545743
took	part	in 	9507	44.147052545743
is	a	member 	9498	44.105259816921
two	of	the 	9470	43.975237993918
so	that	the 	9440	43.835928897845
a	range	of 	9432	43.798779805558
the	location	of 	9429	43.784848895951
was	elected	to 	9428	43.780205259415
in	some	cases 	9419	43.738412530593
to	as	the 	9410	43.696619801771
to	refer	to 	9409	43.691976165235
the	area	of 	9403	43.664114346021
the	city	was 	9372	43.520161613411
the	first	two 	9371	43.515517976875
resulted	in	the 	9367	43.496943430732
the	loss	of 	9355	43.441219792303
He	was	born 	9346	43.399427063481
area	of	the 	9323	43.292623423157
on	the	north 	9292	43.148670690548
it	is	possible 	9264	43.018648867546
to	form	the 	9256	42.981499775260
He	is	the 	9246	42.935063409902
and	was	a 	9209	42.763248858078
the	production	of 	9205	42.744674311934
the	capital	of 	9184	42.647157944683
return	to	the 	9130	42.396401571750
the	Civil	War 	9087	42.196725200711
first	time	in 	9082	42.173507018032
the	position	of 	9073	42.131714289210
the	daughter	of 	9021	41.890245189349
his	death	in 	9017	41.871670643206
access	to	the 	9006	41.820590641312
The	town	is 	8992	41.755579729811
as	it	was 	8965	41.630201543345
the	next	day 	8957	41.593052451059
in	this	case 	8938	41.504823356879
took	place	in 	8929	41.463030628057
in	an	attempt 	8925	41.444456081914
now	known	as 	8924	41.439812445378
because	of	its 	8905	41.351583351198
during	the	war 	8889	41.277285166625
the	island	of 	8879	41.230848801267
the	influence	of 	8875	41.212274255124
the	purpose	of 	8862	41.151906980159
worked	as	a 	8830	41.003310611014
that	they	were 	8828	40.994023337942
was	based	on 	8822	40.966161518727
is	that	the 	8817	40.942943336048
but	it	is 	8808	40.901150607226
was	nominated	for 	8804	40.882576061083
on	the	west 	8798	40.854714241868
and	to	the 	8790	40.817565149582
became	part	of 	8789	40.812921513046
to	become	the 	8733	40.552877867042
the	office	of 	8720	40.492510592077
participated	in	the 	8719	40.487866955541
the	reign	of 	8700	40.399637861361
a	combination	of 	8691	40.357845132539
the	arrival	of 	8683	40.320696040253
with	the	exception 	8681	40.311408767181
of	which	are 	8668	40.251041492216
may	also	be 	8619	40.023503301962
to	form	a 	8606	39.963136026997
Secretary	of	State 	8603	39.949205117390
in	support	of 	8598	39.925986934711
served	in	the 	8597	39.921343298175
High	School	in 	8574	39.814539657852
from	the	University 	8565	39.772746929030
the	direction	of 	8565	39.772746929030
percent	of	the 	8562	39.758816019422
as	it	is 	8540	39.656656015635
was	completed	in 	8529	39.605576013741
at	a	time 	8526	39.591645104134
branch	of	the 	8526	39.591645104134
was	unable	to 	8524	39.582357831062
on	behalf	of 	8522	39.573070557991
has	been	the 	8521	39.568426921455
there	are	no 	8510	39.517346919561
wide	range	of 	8508	39.508059646490
the	help	of 	8484	39.396612369631
and	is	a 	8446	39.220154181271
the	addition	of 	8439	39.187648725520
there	have	been 	8431	39.150499633234
the	exception	of 	8430	39.145855996698
to	New	York 	8423	39.113350540948
There	are	several 	8404	39.025121446768
in	an	interview 	8400	39.006546900625
and	at	the 	8397	38.992615991017
the	need	for 	8392	38.969397808338
by	the	United 	8385	38.936892352588
believed	to	be 	8375	38.890455987230
to	be	an 	8375	38.890455987230
more	than	one 	8365	38.844019621872
would	not	be 	8363	38.834732348800
New	South	Wales 	8346	38.755790527692
used	for	the 	8341	38.732572345013
as	far	as 	8337	38.713997798870
were	able	to 	8299	38.537539610510
He	is	also 	8290	38.495746881688
the	field	of 	8287	38.481815972080
the	same	as 	8285	38.472528699009
in	contrast	to 	8271	38.407517787508
located	at	the 	8267	38.388943241365
is	on	the 	8264	38.375012331757
known	for	its 	8258	38.347150512543
proved	to	be 	8177	37.971015953144
That	same	year 	8173	37.952441407001
that	had	been 	8167	37.924579587786
by	the	British 	8166	37.919935951250
versions	of	the 	8143	37.813132310927
a	type	of 	8139	37.794557764784
the	rank	of 	8137	37.785270491712
followed	by	a 	8126	37.734190489818
thought	to	be 	8119	37.701685034068
is	used	in 	8115	37.683110487925
was	announced	that 	8104	37.632030486031
and	can	be 	8090	37.567019574530
Order	of	the 	8085	37.543801391851
is	a	city 	8071	37.478790480350
the	north	of 	8065	37.450928661135
nature	of	the 	8038	37.325550474669
the	people	of 	8011	37.200172288203
and	by	the 	8008	37.186241378595
is	a	town 	7996	37.130517740166
only	a	few 	7988	37.093368647880
the	hands	of 	7986	37.084081374808
the	Los	Angeles 	7983	37.070150465201
a	wide	range 	7969	37.005139553700
became	one	of 	7969	37.005139553700
is	known	for 	7964	36.981921371021
that	it	would 	7954	36.935485005663
the	Ministry	of 	7953	36.930841369127
he	had	a 	7951	36.921554096055
the	most	famous 	7921	36.782244999982
the	nature	of 	7917	36.763670453839
did	not	have 	7914	36.749739544231
built	in	the 	7909	36.726521361552
was	named	after 	7896	36.666154086587
edge	of	the 	7888	36.629004994301
was	followed	by 	7877	36.577924992407
is	a	small 	7874	36.563994082800
to	build	a 	7866	36.526844990513
the	importance	of 	7862	36.508270444370
of	one	of 	7833	36.373604984832
rather	than	the 	7833	36.373604984832
in	honor	of 	7830	36.359674075225
is	also	known 	7817	36.299306800260
during	the	Second 	7814	36.285375890652
could	not	be 	7805	36.243583161830
support	of	the 	7804	36.238939525295
size	of	the 	7803	36.234295888759
the	cost	of 	7797	36.206434069544
commander	of	the 	7781	36.132135884971
in	one	of 	7779	36.122848611900
the	First	World 	7778	36.118204975364
compared	to	the 	7775	36.104274065757
the	life	of 	7771	36.085699519614
owned	by	the 	7765	36.057837700399
is	also	used 	7758	36.025332244648
followed	by	the 	7722	35.858161329360
the	possibility	of 	7719	35.844230419753
creation	of	the 	7713	35.816368600538
is	divided	into 	7713	35.816368600538
later	in	the 	7711	35.807081327466
over	the	next 	7705	35.779219508251
of	his	own 	7702	35.765288598644
He	has	been 	7692	35.718852233286
He	died	in 	7690	35.709564960215
home	of	the 	7681	35.667772231393
the	value	of 	7662	35.579543137213
the	King	of 	7657	35.556324954534
to	support	the 	7656	35.551681317998
work	on	the 	7644	35.495957679568
of	all	the 	7639	35.472739496889
two	years	later 	7636	35.458808587282
also	has	a 	7630	35.430946768067
a	few	years 	7595	35.268419489315
the	opening	of 	7586	35.226626760493
after	World	War 	7582	35.208052214349
According	to	a 	7576	35.180190395135
some	of	his 	7560	35.105892210562
as	a	whole 	7542	35.022306752918
view	of	the 	7515	34.896928566452
was	formed	in 	7509	34.869066747237
one	or	more 	7503	34.841204928022
it	to	the 	7478	34.725114014627
a	pair	of 	7475	34.711183105020
up	in	the 	7449	34.590448555090
in	charge	of 	7443	34.562586735875
It	is	one 	7414	34.427921276337
for	the	new 	7386	34.297899453335
coat	of	arms 	7381	34.274681270656
There	are	a 	7372	34.232888541834
as	long	as 	7370	34.223601268762
First	World	War 	7369	34.218957632226
the	origin	of 	7350	34.130728538047
the	command	of 	7343	34.098223082296
form	of	the 	7337	34.070361263081
Some	of	these 	7330	34.037855807331
outside	of	the 	7327	34.023924897723
seen	in	the 	7321	33.996063078509
the	south	of 	7319	33.986775805437
in	the	United 	7316	33.972844895830
the	Council	of 	7315	33.968201259294
he	was	not 	7314	33.963557622758
in	World	War 	7313	33.958913986222
a	city	in 	7308	33.935695803543
the	effects	of 	7304	33.917121257400
response	to	the 	7301	33.903190347793
for	more	than 	7291	33.856753982435
with	the	help 	7286	33.833535799756
to	this	day 	7283	33.819604890149
had	a	population 	7269	33.754593978648
due	to	his 	7257	33.698870340218
the	spring	of 	7254	33.684939430611
that	there	is 	7250	33.666364884468
founder	of	the 	7245	33.643146701789
it	as	a 	7245	33.643146701789
have	also	been 	7242	33.629215792181
has	been	used 	7241	33.624572155646
is	believed	to 	7240	33.619928519110
any	of	the 	7239	33.615284882574
day	of	the 	7236	33.601353972967
not	to	be 	7236	33.601353972967
the	federal	government 	7230	33.573492153752
was	not	a 	7230	33.573492153752
was	created	in 	7212	33.489906696108
capital	of	the 	7198	33.424895784607
is	best	known 	7191	33.392390328856
reference	to	the 	7191	33.392390328856
he	and	his 	7174	33.313448507748
was	promoted	to 	7173	33.308804871212
course	of	the 	7167	33.280943051997
the	Middle	East 	7162	33.257724869318
most	of	his 	7156	33.229863050104
is	used	for 	7155	33.225219413568
In	the	end 	7154	33.220575777032
the	power	of 	7153	33.215932140496
the	north	and 	7151	33.206644867425
in	conjunction	with 	7146	33.183426684746
United	States	in 	7142	33.164852138602
with	respect	to 	7140	33.155564865531
the	Duke	of 	7139	33.150921228995
interest	in	the 	7130	33.109128500173
be	used	for 	7126	33.090553954030
during	the	early 	7125	33.085910317494
is	derived	from 	7124	33.081266680958
he	joined	the 	7111	33.020899405993
and	became	a 	7110	33.016255769457
is	the	second 	7093	32.937313948349
attached	to	the 	7082	32.886233946455
wide	variety	of 	7074	32.849084854169
time	in	the 	7067	32.816579398418
was	sent	to 	7059	32.779430306132
consists	of	a 	7032	32.654052119666
a	year	later 	7030	32.644764846594
to	keep	the 	7030	32.644764846594
and	a	half 	7013	32.565823025486
was	the	last 	7010	32.551892115878
the	length	of 	7004	32.524030296664
the	members	of 	7004	32.524030296664
after	his	death 	7001	32.510099387056
the	County	of 	6998	32.496168477449
there	is	an 	6992	32.468306658234
the	leader	of 	6988	32.449732112091
of	that	year 	6985	32.435801202484
location	of	the 	6960	32.319710289089
is	similar	to 	6950	32.273273923731
the	face	of 	6949	32.268630287195
said	that	the 	6942	32.236124831445
be	used	in 	6941	32.231481194909
which	he	was 	6937	32.212906648766
in	exchange	for 	6922	32.143252100729
in	spite	of 	6921	32.138608464193
in	a	number 	6914	32.106103008443
the	part	of 	6900	32.041092096942
to	take	the 	6895	32.017873914263
that	they	are 	6888	31.985368458512
Secretary	of	the 	6879	31.943575729690
he	moved	to 	6877	31.934288456618
that	he	is 	6876	31.929644820083
have	been	a 	6874	31.920357547011
the	Book	of 	6865	31.878564818189
on	top	of 	6851	31.813553906688
he	was	awarded 	6844	31.781048450937
Many	of	these 	6841	31.767117541330
the	city	and 	6839	31.757830268259
comes	from	the 	6838	31.753186631723
a	town	in 	6829	31.711393902901
the	first	round 	6829	31.711393902901
the	area	was 	6828	31.706750266365
to	serve	as 	6825	31.692819356757
Republic	of	China 	6824	31.688175720222
featured	in	the 	6818	31.660313901007
have	been	the 	6813	31.637095718328
the	Prime	Minister 	6805	31.599946626042
together	with	the 	6795	31.553510260684
refer	to	the 	6778	31.474568439575
This	was	a 	6753	31.358477526181
be	used	as 	6744	31.316684797359
and	has	a 	6742	31.307397524287
with	the	same 	6742	31.307397524287
it	may	be 	6732	31.260961158929
it	does	not 	6727	31.237742976250
command	of	the 	6722	31.214524793571
terms	of	the 	6719	31.200593883964
a	wide	variety 	6712	31.168088428213
appeared	on	the 	6680	31.019492059068
New	York	State 	6680	31.019492059068
the	rise	of 	6675	30.996273876389
those	of	the 	6675	30.996273876389
chief	of	the 	6671	30.977699330246
the	second	half 	6667	30.959124784103
after	the	death 	6665	30.949837511031
Battle	of	the 	6662	30.935906601424
should	not	be 	6662	30.935906601424
was	used	to 	6657	30.912688418745
are	used	to 	6654	30.898757509138
continued	to	be 	6648	30.870895689923
because	of	his 	6619	30.736230230385
published	in	the 	6612	30.703724774635
replaced	by	the 	6593	30.615495680455
an	effort	to 	6591	30.606208407383
which	was	the 	6590	30.601564770847
he	won	the 	6568	30.499404767060
areas	of	the 	6566	30.490117493988
is	responsible	for 	6543	30.383313853665
of	which	were 	6537	30.355452034450
later	that	year 	6527	30.309015669092
for	most	of 	6525	30.299728396021
was	responsible	for 	6525	30.299728396021
contributed	to	the 	6524	30.295084759485
was	educated	at 	6517	30.262579303735
of	more	than 	6513	30.244004757591
served	by	the 	6511	30.234717484520
is	a	former 	6503	30.197568392234
The	song	was 	6495	30.160419299947
to	be	in 	6479	30.086121115375
was	succeeded	by 	6466	30.025753840409
in	his	book 	6460	29.997892021195
the	bottom	of 	6447	29.937524746229
has	not	been 	6437	29.891088380871
was	involved	in 	6437	29.891088380871
by	the	government 	6425	29.835364742442
the	outbreak	of 	6425	29.835364742442
the	support	of 	6421	29.816790196299
he	became	the 	6419	29.807502923227
all	over	the 	6417	29.798215650156
in	his	first 	6415	29.788928377084
Member	of	Parliament 	6412	29.774997467477
the	absence	of 	6410	29.765710194405
for	the	rest 	6389	29.668193827154
the	Middle	Ages 	6388	29.663550190618
had	been	a 	6384	29.644975644475
the	Roman	Catholic 	6382	29.635688371403
and	the	new 	6380	29.626401098332
inducted	into	the 	6378	29.617113825260
bank	of	the 	6375	29.603182915653
list	of	the 	6375	29.603182915653
fact	that	the 	6373	29.593895642581
sides	of	the 	6372	29.589252006045
was	born	on 	6371	29.584608369509
and	the	second 	6370	29.579964732974
which	led	to 	6366	29.561390186830
believed	to	have 	6363	29.547459277223
there	has	been 	6361	29.538172004152
would	be	the 	6358	29.524241094544
next	to	the 	6356	29.514953821473
and	of	the 	6355	29.510310184937
was	held	in 	6355	29.510310184937
is	now	the 	6323	29.361713815792
